Disease	gene
Congenital myaesthenic syndrome	GFPT1
Congenital myaesthenic syndrome	GMPPB
Congenital myaesthenic syndrome	LRP4
Congenital myaesthenic syndrome	MUSK
Congenital myaesthenic syndrome	PLEC
Congenital myaesthenic syndrome	RAPSN
Congenital myaesthenic syndrome	SLC18A3
Congenital myaesthenic syndrome	SLC5A7
Congenital myaesthenic syndrome	SCN4A
Congenital myopathy	ACTA1
Congenital myopathy	BIN1
Congenital myopathy	CACNA1S
Congenital myopathy	CFL2
Congenital myopathy	COL12A1
Congenital myopathy	COL6A1
Congenital myopathy	COL6A2
Congenital myopathy	COL6A3
Congenital myopathy	DNM2
Congenital myopathy	EPG5
Congenital myopathy	KBTBD13
Congenital myopathy	KLHL40
Congenital myopathy	KLHL41
Congenital myopathy	LMOD3
Congenital myopathy	MAP3K20
Congenital myopathy	MEGF10
Congenital myopathy	MTM1
Congenital myopathy	MYH2
Congenital myopathy	MYH3
Congenital myopathy	MYH7
Congenital myopathy	MYH8
Congenital myopathy	MYMK
Congenital myopathy	MYO18B
Congenital myopathy	NEB
Congenital myopathy	ORAI1
Congenital myopathy	RYR1
Congenital myopathy	SCN4A
Congenital myopathy	SELENON
Congenital myopathy	SPEG
Congenital myopathy	STAC3
Congenital myopathy	STIM1
Congenital myopathy	TNNT1
Congenital myopathy	TPM2
Congenital myopathy	TPM3
Congenital myopathy	TTN
Congenital myopathy	VMA21
Congenital myopathy	FKBP14
Congenital myopathy	HTRA2
Congenital myopathy	LGI4
Congenital myopathy	LMNA
Congenital myopathy	MICU1
Congenital myopathy	SLC25A4
Distal myopathies	ACTA1
Distal myopathies	ANO5
Distal myopathies	BAG3
Distal myopathies	CNBP
Distal myopathies	CRYAB
Distal myopathies	DES
Distal myopathies	DNAJB6
Distal myopathies	DNM2
Distal myopathies	DYSF
Distal myopathies	FHL1
Distal myopathies	FLNC
Distal myopathies	GNE
Distal myopathies	HSPB1
Distal myopathies	HSPB8
Distal myopathies	LDB3
Distal myopathies	MATR3
Distal myopathies	MYH7
Distal myopathies	MYOT
Distal myopathies	NEB
Distal myopathies	SQSTM1
Distal myopathies	TIA1
Distal myopathies	TTN
Distal myopathies	VCP
Early onset dementia (encompassing fronto-temporal dementia and prion disease)	APP
Early onset dementia (encompassing fronto-temporal dementia and prion disease)	CHMP2B
Early onset dementia (encompassing fronto-temporal dementia and prion disease)	CSF1R
Early onset dementia (encompassing fronto-temporal dementia and prion disease)	DNAJC5
Early onset dementia (encompassing fronto-temporal dementia and prion disease)	DNMT1
Early onset dementia (encompassing fronto-temporal dementia and prion disease)	EPM2A
Early onset dementia (encompassing fronto-temporal dementia and prion disease)	GRN
Early onset dementia (encompassing fronto-temporal dementia and prion disease)	ITM2B
Early onset dementia (encompassing fronto-temporal dementia and prion disease)	MAPT
Early onset dementia (encompassing fronto-temporal dementia and prion disease)	NHLRC1
Early onset dementia (encompassing fronto-temporal dementia and prion disease)	NOTCH3
Early onset dementia (encompassing fronto-temporal dementia and prion disease)	PRNP
Early onset dementia (encompassing fronto-temporal dementia and prion disease)	PSEN1
Early onset dementia (encompassing fronto-temporal dementia and prion disease)	PSEN2
Early onset dementia (encompassing fronto-temporal dementia and prion disease)	TARDBP
Early onset dementia (encompassing fronto-temporal dementia and prion disease)	TBK1
Early onset dementia (encompassing fronto-temporal dementia and prion disease)	TYROBP
Early onset dementia (encompassing fronto-temporal dementia and prion disease)	UBQLN2
Early onset dementia (encompassing fronto-temporal dementia and prion disease)	VCP
Early onset dystonia	PRKN
Early onset dystonia	ADAR
Early onset dystonia	ADCY5
Early onset dystonia	ANO3
Early onset dystonia	APTX
Early onset dystonia	ATM
Early onset dystonia	ATP13A2
Early onset dystonia	ATP1A3
Early onset dystonia	ATP7B
Early onset dystonia	BCAP31
Early onset dystonia	C19orf12
Early onset dystonia	CHMP2B
Early onset dystonia	COASY
Early onset dystonia	CP
Early onset dystonia	CSTB
Early onset dystonia	DCAF17
Early onset dystonia	DLAT
Early onset dystonia	FA2H
Early onset dystonia	FBXO7
Early onset dystonia	FTL
Early onset dystonia	GCH1
Early onset dystonia	GNAO1
Early onset dystonia	HPCA
Early onset dystonia	HTRA2
Early onset dystonia	KMT2B
Early onset dystonia	MECR
Early onset dystonia	NKX6-2
Early onset dystonia	PANK2
Early onset dystonia	PINK1
Early onset dystonia	PLA2G6
Early onset dystonia	PNKD
Early onset dystonia	PRKRA
Early onset dystonia	PRRT2
Early onset dystonia	SERAC1
Early onset dystonia	SGCE
Early onset dystonia	SLC2A1
Early onset dystonia	SLC30A10
Early onset dystonia	SLC6A3
Early onset dystonia	SPR
Early onset dystonia	SYNJ1
Early onset dystonia	TH
Early onset dystonia	THAP1
Early onset dystonia	TOR1A
Early onset dystonia	TUBB4A
Early onset dystonia	VAC14
Early onset dystonia	VPS13A
Early onset dystonia	WDR45
Early onset dystonia	WDR73
