Disease	gene
Intellectual disability	SLC6A17
Intellectual disability	SLC6A8
Intellectual disability	SLC6A9
Intellectual disability	SLC9A6
Intellectual disability	SLX4
Intellectual disability	SMAD4
Intellectual disability	SMARCA2
Intellectual disability	SMARCA4
Intellectual disability	SMARCB1
Intellectual disability	SMARCE1
Intellectual disability	SMC1A
Intellectual disability	SMC3
Intellectual disability	SMS
Intellectual disability	SNX14
Intellectual disability	SON
Intellectual disability	SOX10
Intellectual disability	SOX2
Intellectual disability	SOX3
Intellectual disability	SOX5
Intellectual disability	SPART
Intellectual disability	SPECC1L
Intellectual disability	SPR
Intellectual disability	SPTAN1
Intellectual disability	SPTBN2
Intellectual disability	SRCAP
Intellectual disability	SRD5A3
Intellectual disability	SSR4
Intellectual disability	ST3GAL3
Intellectual disability	ST3GAL5
Intellectual disability	STIL
Intellectual disability	STRA6
Intellectual disability	STX1B
Intellectual disability	STXBP1
Intellectual disability	SUCLG1
Intellectual disability	SYN1
Intellectual disability	SYNGAP1
Intellectual disability	SYP
Intellectual disability	SZT2
Intellectual disability	TAF1
Intellectual disability	TAF6
Intellectual disability	TBC1D23
Intellectual disability	TBC1D24
Intellectual disability	TBCD
Intellectual disability	TBCE
Intellectual disability	TBL1XR1
Intellectual disability	TBR1
Intellectual disability	TCF4
Intellectual disability	TECPR2
Intellectual disability	TGIF1
Intellectual disability	TH
Intellectual disability	THOC2
Intellectual disability	THOC6
Intellectual disability	TLK2
Intellectual disability	TMCO1
Intellectual disability	TMEM165
Intellectual disability	TMEM216
Intellectual disability	TMEM240
Intellectual disability	TMEM67
Intellectual disability	TMEM70
Intellectual disability	TMTC3
Intellectual disability	TRAPPC9
Intellectual disability	TRIO
Intellectual disability	TRIT1
Intellectual disability	TRMT10A
Intellectual disability	TSC1
Intellectual disability	TSC2
Intellectual disability	TSPAN7
Intellectual disability	TUBA1A
Intellectual disability	TUBB2A
Intellectual disability	TUBB2B
Intellectual disability	TUBB3
Intellectual disability	TUSC3
Intellectual disability	TWIST1
Intellectual disability	UBA5
Intellectual disability	UBE2A
Intellectual disability	UBE3A
Intellectual disability	UBTF
Intellectual disability	UNC80
Intellectual disability	UPF3B
Intellectual disability	UROC1
Intellectual disability	USP9X
Intellectual disability	VAMP1
Intellectual disability	VLDLR
Intellectual disability	VPS13B
Intellectual disability	VPS53
Intellectual disability	WAC
Intellectual disability	WDR26
Intellectual disability	WDR45B
Intellectual disability	WDR62
Intellectual disability	WDR73
Intellectual disability	WWOX
Intellectual disability	YY1
Intellectual disability	ZBTB20
Intellectual disability	ZBTB24
Intellectual disability	ZDHHC9
Intellectual disability	ZEB2
Intellectual disability	ZFYVE26
Intellectual disability	ZIC2
Intellectual disability	ZMYND11
Intellectual disability	ZNF711
Intellectual disability	ZSWIM6
Intellectual disability	AARS
Intellectual disability	AASS
Intellectual disability	ABCD4
Intellectual disability	ABHD5
Intellectual disability	ACAD9
Intellectual disability	ACADM
Intellectual disability	ACTB
Intellectual disability	ACTG1
Intellectual disability	ACTL6A
Intellectual disability	ADAT3
Intellectual disability	ADGRG1
Intellectual disability	AFF4
Intellectual disability	AFG3L2
Intellectual disability	AGA
Intellectual disability	AGPS
Intellectual disability	AHI1
Intellectual disability	AIMP1
Intellectual disability	ALDH3A2
Intellectual disability	ALDH7A1
Intellectual disability	ALMS1
Intellectual disability	AMER1
Intellectual disability	AMPD2
Intellectual disability	AMT
Intellectual disability	ANKH
Intellectual disability	ARFGEF2
Intellectual disability	ARL6
Intellectual disability	ARMC9
Intellectual disability	ARSA
Intellectual disability	ARSB
Intellectual disability	ARSE
Intellectual disability	ASAH1
Intellectual disability	ASNS
Intellectual disability	ASPA
Intellectual disability	ASXL1
Intellectual disability	ATAD3A
Intellectual disability	ATP13A2
Intellectual disability	ATP1A1
Intellectual disability	ATP6V1A
Intellectual disability	ATP6V1B2
Intellectual disability	ATP8A2
Intellectual disability	ATR
Intellectual disability	B3GALNT2
Intellectual disability	B4GALNT1
Intellectual disability	B4GALT7
Intellectual disability	BCAP31
Intellectual disability	BCKDHA
Intellectual disability	BCKDHB
Intellectual disability	BCL11B
Intellectual disability	BCS1L
Intellectual disability	BLM
Intellectual disability	BOLA3
Intellectual disability	BRAT1
Intellectual disability	BTD
Intellectual disability	C12orf65
Intellectual disability	C5orf42
Intellectual disability	CA2
Intellectual disability	CA8
Intellectual disability	CACNA1C
Intellectual disability	CACNA1E
Intellectual disability	CACNA1G
Intellectual disability	CBL
Intellectual disability	CCBE1
Intellectual disability	CCDC47
Intellectual disability	CCDC88C
Intellectual disability	CDC6
Intellectual disability	CDK10
Intellectual disability	CDK8
Intellectual disability	CDON
Intellectual disability	CEP135
Intellectual disability	CEP152
Intellectual disability	CHAMP1
Intellectual disability	CHD3
Intellectual disability	CIC
Intellectual disability	CIT
Intellectual disability	CLN5
Intellectual disability	CLN6
Intellectual disability	CLN8
Intellectual disability	CLP1
Intellectual disability	CNNM2
Intellectual disability	COG6
Intellectual disability	COL4A1
Intellectual disability	COL4A2
Intellectual disability	COL4A3BP
Intellectual disability	COLEC11
Intellectual disability	COX10
Intellectual disability	COX15
Intellectual disability	COX6B1
Intellectual disability	CRB2
Intellectual disability	CSNK2B
Intellectual disability	CSTB
Intellectual disability	CTDP1
Intellectual disability	CTNNA2
Intellectual disability	CTSD
Intellectual disability	CUX2
Intellectual disability	CWF19L1
Intellectual disability	CYC1
Intellectual disability	CYP2U1
Intellectual disability	D2HGDH
Intellectual disability	DARS
Intellectual disability	DCAF17
Intellectual disability	DDC
Intellectual disability	DDHD2
Intellectual disability	DDX11
Intellectual disability	DEPDC5
Intellectual disability	DHDDS
Intellectual disability	DHFR
Intellectual disability	DHTKD1
Intellectual disability	DHX30
Intellectual disability	DIAPH1
Intellectual disability	DIS3L2
Intellectual disability	DLD
Intellectual disability	DNMT3B
Intellectual disability	DOCK6
Intellectual disability	DPF2
Intellectual disability	DPM1
Intellectual disability	DPP6
Intellectual disability	DYM
Intellectual disability	EFTUD2
Intellectual disability	EIF2AK3
Intellectual disability	EIF3F
Intellectual disability	ELAC2
Intellectual disability	EPG5
Intellectual disability	ERCC1
Intellectual disability	ERCC6L2
Intellectual disability	ERLIN2
Intellectual disability	ESCO2
Intellectual disability	ETFA
Intellectual disability	ETFB
Intellectual disability	ETFDH
Intellectual disability	EXOSC3
Intellectual disability	FAM111A
Intellectual disability	FAM20C
Intellectual disability	FAT4
Intellectual disability	FBXL4
Intellectual disability	FBXO11
Intellectual disability	FH
Intellectual disability	FIG4
Intellectual disability	FLVCR1
Intellectual disability	FLVCR2
Intellectual disability	FOXRED1
Intellectual disability	FTCD
Intellectual disability	FUCA1
Intellectual disability	FUT8
Intellectual disability	GABRA1
Intellectual disability	GABRB2
Intellectual disability	GABRB3
Intellectual disability	GABRG2
Intellectual disability	GALC
Intellectual disability	GALT
Intellectual disability	GATAD2B
Intellectual disability	GCDH
Intellectual disability	GCH1
Intellectual disability	GJC2
Intellectual disability	GLB1
Intellectual disability	GLDC
Intellectual disability	GMPPA
Intellectual disability	GNAO1
Intellectual disability	GNS
Intellectual disability	GPSM2
Intellectual disability	GRIN2D
Intellectual disability	GTF2H5
Intellectual disability	GTPBP2
Intellectual disability	HADH
Intellectual disability	HADHA
Intellectual disability	HCCS
Intellectual disability	HCFC1
Intellectual disability	HEPACAM
Intellectual disability	HERC1
Intellectual disability	HESX1
Intellectual disability	HEXA
Intellectual disability	HGSNAT
Intellectual disability	HIBCH
Intellectual disability	HLCS
Intellectual disability	HMGCL
Intellectual disability	HSD17B4
Intellectual disability	HTRA2
Intellectual disability	HYLS1
Intellectual disability	IBA57
Intellectual disability	IDH2
Intellectual disability	IDUA
Intellectual disability	IFT172
Intellectual disability	IKBKG
Intellectual disability	INPP5E
Intellectual disability	INTS1
Intellectual disability	IRF2BPL
Intellectual disability	ISPD
Intellectual disability	ITPR1
Intellectual disability	IVD
Intellectual disability	JAM3
Intellectual disability	KARS
Intellectual disability	KAT6B
Intellectual disability	KCNA2
Intellectual disability	KCNB1
Intellectual disability	KCNC3
Intellectual disability	KCNJ6
Intellectual disability	KCNQ3
Intellectual disability	KCNT1
Intellectual disability	L2HGDH
Intellectual disability	LAMB1
Intellectual disability	LARP7
Intellectual disability	LGI4
Intellectual disability	LRPPRC
Intellectual disability	LZTR1
Intellectual disability	MAB21L1
Intellectual disability	MAB21L2
Intellectual disability	MACF1
Intellectual disability	MAF
Intellectual disability	MAP2K1
Intellectual disability	MAPK8IP3
Intellectual disability	MASP1
Intellectual disability	MAST1
Intellectual disability	MCM3AP
Intellectual disability	MED23
Intellectual disability	MEIS2
Intellectual disability	METTL23
Intellectual disability	MFF
Intellectual disability	MGP
Intellectual disability	MKS1
Intellectual disability	MLC1
Intellectual disability	MMAA
Intellectual disability	MMAB
Intellectual disability	MMACHC
Intellectual disability	MOCS1
Intellectual disability	MPDU1
Intellectual disability	MPLKIP
Intellectual disability	MRPS22
Intellectual disability	MSL3
Intellectual disability	MSMO1
Intellectual disability	MTRR
Intellectual disability	MUT
Intellectual disability	MVK
Intellectual disability	NAGLU
Intellectual disability	NANS
Intellectual disability	NBEA
Intellectual disability	NDE1
Intellectual disability	NDUFS4
Intellectual disability	NDUFS7
Intellectual disability	NDUFS8
Intellectual disability	NDUFV1
Intellectual disability	NEU1
Intellectual disability	NFU1
Intellectual disability	NGLY1
Intellectual disability	NKX2-1
Intellectual disability	NPHP1
Intellectual disability	NRAS
Intellectual disability	NSD2
Intellectual disability	NT5C2
Intellectual disability	NTRK2
Intellectual disability	NUBPL
Intellectual disability	OCLN
Intellectual disability	ODC1
Intellectual disability	OGT
Intellectual disability	OSGEP
Intellectual disability	OTC
Intellectual disability	OTX2
Intellectual disability	PACS2
Intellectual disability	PAX8
Intellectual disability	PBX1
Intellectual disability	PC
Intellectual disability	PCGF2
Intellectual disability	PDHA1
Intellectual disability	PDHX
Intellectual disability	PDSS2
Intellectual disability	PEPD
Intellectual disability	PEX1
Intellectual disability	PEX10
Intellectual disability	PEX12
Intellectual disability	PEX13
Intellectual disability	PEX14
Intellectual disability	PEX16
Intellectual disability	PEX19
Intellectual disability	PEX2
Intellectual disability	PEX26
Intellectual disability	PEX3
Intellectual disability	PEX5
Intellectual disability	PEX6
Intellectual disability	PGAP2
Intellectual disability	PHACTR1
Intellectual disability	PHGDH
Intellectual disability	PHIP
Intellectual disability	PIGA
Intellectual disability	PIGT
Intellectual disability	PIK3CA
Intellectual disability	PLCB1
Intellectual disability	POLG
Intellectual disability	POLR3A
Intellectual disability	POLR3B
Intellectual disability	POMGNT2
Intellectual disability	PPP1CB
Intellectual disability	PPP2R1A
Intellectual disability	PPT1
Intellectual disability	PRMT7
Intellectual disability	PSAP
Intellectual disability	PTF1A
Intellectual disability	PTS
Intellectual disability	QDPR
Intellectual disability	RAB18
Intellectual disability	RAB23
Intellectual disability	RAB3GAP1
Intellectual disability	RAB3GAP2
Intellectual disability	RAF1
Intellectual disability	RARS2
Intellectual disability	RERE
Intellectual disability	RHOBTB2
Intellectual disability	RIT1
Intellectual disability	RMND1
Intellectual disability	RNASEH2A
Intellectual disability	RNASEH2B
Intellectual disability	RNASEH2C
Intellectual disability	RNASET2
Intellectual disability	ROGDI
Intellectual disability	ROR2
Intellectual disability	RORA
Intellectual disability	RTEL1
Intellectual disability	RTN4IP1
Intellectual disability	SAMD9
Intellectual disability	SC5D
Intellectual disability	SCAPER
Intellectual disability	SCO1
Intellectual disability	SCO2
Intellectual disability	SDHA
Intellectual disability	SDHAF1
Intellectual disability	SET
Intellectual disability	SGPL1
Intellectual disability	SHANK1
Intellectual disability	SHH
Intellectual disability	SHOC2
Intellectual disability	SIK1
Intellectual disability	SIN3A
Intellectual disability	SIX3
Intellectual disability	SKI
Intellectual disability	SLC12A5
Intellectual disability	SLC17A5
Intellectual disability	SLC19A3
Intellectual disability	SLC1A2
Intellectual disability	SLC1A4
Intellectual disability	SLC25A1
Intellectual disability	SLC25A22
Intellectual disability	SLC35A1
Intellectual disability	SLC35A2
Intellectual disability	SLC39A8
Intellectual disability	SLC6A19
Intellectual disability	SLC6A3
Intellectual disability	SMARCC2
Intellectual disability	SMOC1
Intellectual disability	SMPD1
Intellectual disability	SNAP29
Intellectual disability	SNRPB
Intellectual disability	SOS1
Intellectual disability	SOS2
Intellectual disability	SOX11
Intellectual disability	SOX4
Intellectual disability	SOX9
Intellectual disability	SPATA5
Intellectual disability	SPG11
Intellectual disability	SPRED1
Intellectual disability	STAG1
Intellectual disability	STAG2
Intellectual disability	STAMBP
Intellectual disability	STRADA
Intellectual disability	SUMF1
Intellectual disability	SUOX
Intellectual disability	SURF1
Intellectual disability	SYNJ1
Intellectual disability	SYT1
Intellectual disability	TANGO2
Intellectual disability	TAT
Intellectual disability	TAZ
Intellectual disability	TBC1D20
Intellectual disability	TBCK
Intellectual disability	TCF20
Intellectual disability	TCN2
Intellectual disability	TCTN2
Intellectual disability	TELO2
Intellectual disability	THRA
Intellectual disability	TMEM237
Intellectual disability	TMEM5
Intellectual disability	TMEM94
Intellectual disability	TOE1
Intellectual disability	TPP1
Intellectual disability	TREX1
Intellectual disability	TRIM32
Intellectual disability	TRIM8
Intellectual disability	TRIP12
Intellectual disability	TRMT1
Intellectual disability	TSEN2
Intellectual disability	TSEN34
Intellectual disability	TSEN54
Intellectual disability	TSFM
Intellectual disability	TSHB
Intellectual disability	TTC19
Intellectual disability	TTC37
Intellectual disability	TTC8
Intellectual disability	TTI2
Intellectual disability	TUBB
Intellectual disability	TUBB4A
Intellectual disability	TUBG1
Intellectual disability	TUBGCP6
Intellectual disability	UBE3B
Intellectual disability	UBR1
Intellectual disability	UMPS
Intellectual disability	VRK1
Intellectual disability	WASF1
Intellectual disability	WDPCP
Intellectual disability	WDR45
Intellectual disability	WDR81
Intellectual disability	XRCC4
Intellectual disability	YWHAG
Intellectual disability	ZBTB18
Intellectual disability	ZC4H2
Intracerebral calcification disorders	ACP5
Intracerebral calcification disorders	ADAR
Intracerebral calcification disorders	AP1S2
Intracerebral calcification disorders	COL4A1
Intracerebral calcification disorders	CTC1
Intracerebral calcification disorders	CYP2U1
Intracerebral calcification disorders	IFIH1
Intracerebral calcification disorders	JAM3
Intracerebral calcification disorders	KIAA1161
Intracerebral calcification disorders	OCLN
Intracerebral calcification disorders	PDGFB
Intracerebral calcification disorders	PDGFRB
Intracerebral calcification disorders	RNASEH2A
Intracerebral calcification disorders	RNASEH2B
Intracerebral calcification disorders	RNASEH2C
Intracerebral calcification disorders	SAMHD1
Intracerebral calcification disorders	SLC20A2
Intracerebral calcification disorders	TREM2
Intracerebral calcification disorders	TREX1
Intracerebral calcification disorders	USP18
Intracerebral calcification disorders	XPR1
Kleine-Levin syndrome	DNMT1
Limb girdle muscular dystrophy	ANO5
Limb girdle muscular dystrophy	MTM1
Limb girdle muscular dystrophy	CAPN3
Limb girdle muscular dystrophy	CAV3
Limb girdle muscular dystrophy	COL6A1
Limb girdle muscular dystrophy	COL6A2
Limb girdle muscular dystrophy	COL6A3
Limb girdle muscular dystrophy	DMD
Limb girdle muscular dystrophy	DNAJB6
Limb girdle muscular dystrophy	DYSF
Limb girdle muscular dystrophy	EMD
Limb girdle muscular dystrophy	FHL1
Limb girdle muscular dystrophy	FKRP
Limb girdle muscular dystrophy	FKTN
Limb girdle muscular dystrophy	FLNC
Limb girdle muscular dystrophy	GAA
Limb girdle muscular dystrophy	GMPPB
Limb girdle muscular dystrophy	LMNA
Limb girdle muscular dystrophy	MYOT
Limb girdle muscular dystrophy	PLEC
Limb girdle muscular dystrophy	POMGNT1
Limb girdle muscular dystrophy	POMT1
Limb girdle muscular dystrophy	POMT2
Limb girdle muscular dystrophy	SGCA
Limb girdle muscular dystrophy	SGCB
Limb girdle muscular dystrophy	SGCD
Limb girdle muscular dystrophy	SGCG
Limb girdle muscular dystrophy	SYNE1
Limb girdle muscular dystrophy	TCAP
Limb girdle muscular dystrophy	TRAPPC11
Limb girdle muscular dystrophy	TRIM32
Limb girdle muscular dystrophy	VCP
Malformations of cortical development	KIF1BP
Malformations of cortical development	LARGE1
Malformations of cortical development	PEX1
Malformations of cortical development	PEX10
Malformations of cortical development	PEX11B
Malformations of cortical development	PEX12
Malformations of cortical development	PEX13
Malformations of cortical development	PEX14
Malformations of cortical development	PEX16
Malformations of cortical development	PEX19
Malformations of cortical development	PEX2
Malformations of cortical development	PEX26
Malformations of cortical development	PEX3
Malformations of cortical development	PEX5
Malformations of cortical development	PEX6
Malformations of cortical development	PEX7
Malformations of cortical development	ACTB
Malformations of cortical development	ACTG1
Malformations of cortical development	ADGRG1
Malformations of cortical development	AKT3
Malformations of cortical development	ARFGEF2
Malformations of cortical development	ARX
Malformations of cortical development	ASPM
Malformations of cortical development	B3GALNT2
Malformations of cortical development	CCND2
Malformations of cortical development	CDK13
Malformations of cortical development	CSNK2A1
Malformations of cortical development	DAG1
Malformations of cortical development	DCX
Malformations of cortical development	DYNC1H1
Malformations of cortical development	FKRP
Malformations of cortical development	FKTN
Malformations of cortical development	FLNA
Malformations of cortical development	GPSM2
Malformations of cortical development	ISPD
Malformations of cortical development	KATNB1
Malformations of cortical development	KIF2A
Malformations of cortical development	KIF5C
Malformations of cortical development	LAMB1
Malformations of cortical development	LAMC3
Malformations of cortical development	MACF1
Malformations of cortical development	MTOR
Malformations of cortical development	NDE1
Malformations of cortical development	NEDD4L
Malformations of cortical development	OCLN
Malformations of cortical development	OSGEP
Malformations of cortical development	PAFAH1B1
Malformations of cortical development	PIK3CA
Malformations of cortical development	PIK3R2
Malformations of cortical development	POMGNT1
Malformations of cortical development	POMGNT2
Malformations of cortical development	POMT1
Malformations of cortical development	POMT2
Malformations of cortical development	RELN
Malformations of cortical development	RTTN
Malformations of cortical development	SMO
Malformations of cortical development	TMEM5
Malformations of cortical development	TUBA1A
Malformations of cortical development	TUBB
Malformations of cortical development	TUBB2A
Malformations of cortical development	TUBB2B
Malformations of cortical development	TUBB3
Malformations of cortical development	TUBG1
Malformations of cortical development	WDR62
Neurotransmitter disorders	DBH
Neurotransmitter disorders	DDC
Neurotransmitter disorders	DHFR
Neurotransmitter disorders	DNAJC12
Neurotransmitter disorders	FOLR1
Neurotransmitter disorders	GCH1
Neurotransmitter disorders	MAOA
Neurotransmitter disorders	PTS
Neurotransmitter disorders	QDPR
Neurotransmitter disorders	SLC18A2
Neurotransmitter disorders	SLC6A3
Neurotransmitter disorders	SPR
Neurotransmitter disorders	TH
Paediatric motor neuronopathies	AR
Paediatric motor neuronopathies	ASAH1
Paediatric motor neuronopathies	BICD2
Paediatric motor neuronopathies	CHCHD10
Paediatric motor neuronopathies	DYNC1H1
Paediatric motor neuronopathies	EXOSC3
Paediatric motor neuronopathies	IGHMBP2
Paediatric motor neuronopathies	SLC52A2
Paediatric motor neuronopathies	SLC52A3
Paediatric motor neuronopathies	SMN1
Paediatric motor neuronopathies	SPG11
Paediatric motor neuronopathies	TRIP4
Paediatric motor neuronopathies	TRPV4
Paediatric motor neuronopathies	UBA1
Paediatric motor neuronopathies	VRK1
Pain syndromes	ATL1
Pain syndromes	ATL3
Pain syndromes	ELP1
Pain syndromes	GLA
Pain syndromes	KIF1A
Pain syndromes	NGF
Pain syndromes	NTRK1
Pain syndromes	PRDM12
Pain syndromes	PRNP
Pain syndromes	RAB7A
Pain syndromes	RETREG1
Pain syndromes	SCN10A
Pain syndromes	SCN11A
Pain syndromes	SCN9A
Pain syndromes	SEPT9
Pain syndromes	SPTLC1
Pain syndromes	SPTLC2
Pain syndromes	TRPA1
Pain syndromes	TTR
Pain syndromes	WNK1
Parkinson Disease and Complex Parkinsonism	PRKN
Parkinson Disease and Complex Parkinsonism	ATP13A2
Parkinson Disease and Complex Parkinsonism	ATP1A3
Parkinson Disease and Complex Parkinsonism	C19orf12
Parkinson Disease and Complex Parkinsonism	CSF1R
Parkinson Disease and Complex Parkinsonism	DCTN1
Parkinson Disease and Complex Parkinsonism	DNAJC6
Parkinson Disease and Complex Parkinsonism	FBXO7
Parkinson Disease and Complex Parkinsonism	FTL
Parkinson Disease and Complex Parkinsonism	GBA
Parkinson Disease and Complex Parkinsonism	GCH1
Parkinson Disease and Complex Parkinsonism	GRN
Parkinson Disease and Complex Parkinsonism	LRRK2
Parkinson Disease and Complex Parkinsonism	LYST
Parkinson Disease and Complex Parkinsonism	MAPT
Parkinson Disease and Complex Parkinsonism	OPA3
Parkinson Disease and Complex Parkinsonism	PANK2
Parkinson Disease and Complex Parkinsonism	PARK7
Parkinson Disease and Complex Parkinsonism	PINK1
Parkinson Disease and Complex Parkinsonism	PLA2G6
Parkinson Disease and Complex Parkinsonism	PRKRA
Parkinson Disease and Complex Parkinsonism	RAB39B
Parkinson Disease and Complex Parkinsonism	SLC30A10
Parkinson Disease and Complex Parkinsonism	SLC39A14
Parkinson Disease and Complex Parkinsonism	SLC6A3
Parkinson Disease and Complex Parkinsonism	SNCA
Parkinson Disease and Complex Parkinsonism	SPG11
Parkinson Disease and Complex Parkinsonism	SPR
Parkinson Disease and Complex Parkinsonism	SYNJ1
Parkinson Disease and Complex Parkinsonism	TH
Parkinson Disease and Complex Parkinsonism	TUBB4A
Parkinson Disease and Complex Parkinsonism	VPS13A
Parkinson Disease and Complex Parkinsonism	VPS35
Parkinson Disease and Complex Parkinsonism	WDR45
Rhabdomyolysis and metabolic muscle disorders	ACAD9
Rhabdomyolysis and metabolic muscle disorders	ACADM
Rhabdomyolysis and metabolic muscle disorders	ACADVL
Rhabdomyolysis and metabolic muscle disorders	AGL
Rhabdomyolysis and metabolic muscle disorders	ALDOA
Rhabdomyolysis and metabolic muscle disorders	ANO5
Rhabdomyolysis and metabolic muscle disorders	CACNA1S
Rhabdomyolysis and metabolic muscle disorders	CAV3
Rhabdomyolysis and metabolic muscle disorders	CPT2
Rhabdomyolysis and metabolic muscle disorders	DMD
Rhabdomyolysis and metabolic muscle disorders	DYSF
Rhabdomyolysis and metabolic muscle disorders	ENO3
Rhabdomyolysis and metabolic muscle disorders	ETFA
Rhabdomyolysis and metabolic muscle disorders	ETFB
Rhabdomyolysis and metabolic muscle disorders	ETFDH
Rhabdomyolysis and metabolic muscle disorders	FKRP
Rhabdomyolysis and metabolic muscle disorders	FKTN
Rhabdomyolysis and metabolic muscle disorders	GAA
Rhabdomyolysis and metabolic muscle disorders	GBE1
Rhabdomyolysis and metabolic muscle disorders	GYG1
Rhabdomyolysis and metabolic muscle disorders	GYS1
Rhabdomyolysis and metabolic muscle disorders	HADHA
Rhabdomyolysis and metabolic muscle disorders	HADHB
Rhabdomyolysis and metabolic muscle disorders	ISCU
Rhabdomyolysis and metabolic muscle disorders	LAMP2
Rhabdomyolysis and metabolic muscle disorders	LDHA
Rhabdomyolysis and metabolic muscle disorders	LPIN1
Rhabdomyolysis and metabolic muscle disorders	PFKM
Rhabdomyolysis and metabolic muscle disorders	PGAM2
Rhabdomyolysis and metabolic muscle disorders	PGK1
Rhabdomyolysis and metabolic muscle disorders	PGM1
Rhabdomyolysis and metabolic muscle disorders	PHKA1
Rhabdomyolysis and metabolic muscle disorders	PHKB
Rhabdomyolysis and metabolic muscle disorders	POLG
Rhabdomyolysis and metabolic muscle disorders	POLG2
Rhabdomyolysis and metabolic muscle disorders	PRKAG2
Rhabdomyolysis and metabolic muscle disorders	PYGM
Rhabdomyolysis and metabolic muscle disorders	RBCK1
Rhabdomyolysis and metabolic muscle disorders	RRM2B
Rhabdomyolysis and metabolic muscle disorders	RYR1
Rhabdomyolysis and metabolic muscle disorders	SIL1
Rhabdomyolysis and metabolic muscle disorders	SLC22A5
Rhabdomyolysis and metabolic muscle disorders	SUCLA2
Rhabdomyolysis and metabolic muscle disorders	TK2
Rhabdomyolysis and metabolic muscle disorders	TSEN54
Rhabdomyolysis and metabolic muscle disorders	TSFM
Rhabdomyolysis and metabolic muscle disorders	TYMP
Skeletal Muscle Channelopathies	ADCY5
Skeletal Muscle Channelopathies	ATP2A1
Skeletal Muscle Channelopathies	CACNA1S
Skeletal Muscle Channelopathies	CLCN1
Skeletal Muscle Channelopathies	KCNA1
Skeletal Muscle Channelopathies	KCNJ2
Skeletal Muscle Channelopathies	MT-ATP6
Skeletal Muscle Channelopathies	MT-ATP8
Skeletal Muscle Channelopathies	PYGM
Skeletal Muscle Channelopathies	RYR1
Skeletal Muscle Channelopathies	SCN4A
Skeletal Muscle Channelopathies	SLC1A3
Structural basal ganglia disorders	ADAR
Structural basal ganglia disorders	AP1S2
Structural basal ganglia disorders	ATP13A2
Structural basal ganglia disorders	ATP7B
Structural basal ganglia disorders	BCS1L
Structural basal ganglia disorders	C19orf12
Structural basal ganglia disorders	COASY
Structural basal ganglia disorders	COX10
Structural basal ganglia disorders	COX15
Structural basal ganglia disorders	CP
Structural basal ganglia disorders	DLAT
Structural basal ganglia disorders	ETHE1
Structural basal ganglia disorders	FA2H
Structural basal ganglia disorders	FOXP2
Structural basal ganglia disorders	FTL
Structural basal ganglia disorders	GCDH
Structural basal ganglia disorders	HIBCH
Structural basal ganglia disorders	IFIH1
Structural basal ganglia disorders	ISG15
Structural basal ganglia disorders	IVD
Structural basal ganglia disorders	KMT2B
Structural basal ganglia disorders	MECR
Structural basal ganglia disorders	MT-ATP6
Structural basal ganglia disorders	MT-ND1
Structural basal ganglia disorders	MT-ND6
Structural basal ganglia disorders	MUT
Structural basal ganglia disorders	NDUFA1
Structural basal ganglia disorders	NDUFA10
Structural basal ganglia disorders	NDUFAF2
Structural basal ganglia disorders	NDUFAF6
Structural basal ganglia disorders	NDUFS4
Structural basal ganglia disorders	NDUFS7
Structural basal ganglia disorders	NDUFS8
Structural basal ganglia disorders	NDUFV1
Structural basal ganglia disorders	OCLN
Structural basal ganglia disorders	PANK2
Structural basal ganglia disorders	PCCA
Structural basal ganglia disorders	PCCB
Structural basal ganglia disorders	PDE10A
Structural basal ganglia disorders	PDGFB
Structural basal ganglia disorders	PDGFRB
Structural basal ganglia disorders	PDHA1
Structural basal ganglia disorders	PDP1
Structural basal ganglia disorders	PLA2G6
Structural basal ganglia disorders	PRNP
Structural basal ganglia disorders	RAB39B
Structural basal ganglia disorders	SDHA
Structural basal ganglia disorders	SERAC1
Structural basal ganglia disorders	SLC19A3
Structural basal ganglia disorders	SLC20A2
Structural basal ganglia disorders	SLC25A19
Structural basal ganglia disorders	SLC30A10
Structural basal ganglia disorders	SLC39A14
Structural basal ganglia disorders	SUCLA2
Structural basal ganglia disorders	SUCLG1
Structural basal ganglia disorders	SURF1
Structural basal ganglia disorders	TOR1A
Structural basal ganglia disorders	TUBA1A
Structural basal ganglia disorders	TUBB4A
Structural basal ganglia disorders	VAC14
Structural basal ganglia disorders	VPS13A
Structural basal ganglia disorders	WDR45
Structural basal ganglia disorders	XPR1
